Ti [at.%]	Fe [at.%]	W [at.%]	Spot #	Photocurrent Density [mA/cm2]	Photocharge [mC/cm2]	Ti Dissolution [ng/cm2]	Fe Dissolution [ng/cm2]	W Dissolution [ng/cm2]	mC/nmol
29.11453	49.63908	21.24639	1	0.8759	6.4704	0	1.01581	0	176.57396
31.38285	44.66117	23.95599	4	0.86973	6.41019	0	2.07237	2.83695	43.45675
33.89831	40.41721	25.68449	7	0.82781	6.08558	0	3.34865	9.42707	17.48684
35.86129	36.59431	27.5444	10	0.84531	6.2659	0	3.98566	14.72573	12.89714
33.79467	43.20584	22.9995	17	0.82901	6.17008	0	3.7518	1.51851	32.23533
36.18104	39.20728	24.61168	20	0.81614	6.03425	0	2.95561	7.66047	19.83026
38.47045	35.39977	26.12978	23	0.38365	2.98863	0	0.73578	39.02894	3.51729
30.06381	52.58804	17.34814	25	0.70319	5.30605	0	1.58556	28.17803	5.65971
32.31441	48.47162	19.21397	28	0.90356	6.71121	0	2.86823	0	63.33717
35.69108	43.23919	21.06973	31	0.83801	6.20664	0	3.53828	3.1602	27.20811
37.83433	39.13269	23.03298	34	0.91397	6.74743	0	2.50631	18.75741	12.09944
39.85632	35.51724	24.62644	37	0.01867	0.23683	0	2.76222	3.9741	1.04311
31.30841	52.94393	15.74766	41	0.49629	3.81282	0	1.14654	2.76392	28.40114
34.53375	47.3885	18.07775	44	0.85342	6.34492	0	1.02983	19.11878	10.33056
37.08375	42.6337	20.28254	47	0.8082	6.02086	0	3.21903	0	44.53186
39.6561	38.50081	21.8431	50	2.58E-04	9.76E-04	0	6.83768	0	0.00307
41.78179	34.67719	23.54102	53	0.67826	5.05844	0	1.45793	5.1308	26.0959
44.04209	31.72392	2.42E+01	56	0.35782	2.22662	0	1.1673	2.28185	19.0136
31.70343	54.0141	14.28247	58	0.22897	1.81072	0	1.65643	6.43384	6.03678
34.73282	48.54485	16.72233	61	0.68769	5.1934	0	1.85416	7.12682	17.29873
38.16532	43.85578	17.97891	64	0.82282	6.10181	0	1.5138	9.26144	17.8408
40.75423	39.53186	19.71391	67	0.8239	6.10631	0	1.32224	7.16069	23.71632
43.00417	35.68846	21.30737	70	0.73795	5.48118	0	1.46367	3.23035	35.15681
45.43291	32.28206	22.28503	73	0.61104	4.53977	0	1.16801	7.45484	18.39805
32.17158	55.13852	12.6899	76	0.1902	1.49828	0	0.35158	14.11206	2.43097
35.51938	49.9656	14.51502	79	0.33073	2.58499	0	0.78893	23.43337	2.8518
39.21103	44.60551	16.18346	82	0.79768	5.93077	0	1.85308	0.89085	56.84407
42.03484	40.19187	17.77329	85	0.74754	5.52899	0	1.76169	0.43652	60.19694
44.60797	35.93792	19.45411	88	0.75215	5.58423	0	1.99407	2.68316	32.02312
46.29522	33.08051	20.62427	91	0.65999	4.91208	0	2.24715	6.22891	17.17973
48.80153	30.10547	21.093	94	0.59869	4.42632	0	2.68843	1.63281	21.91086
34.8461	52.34779	12.80611	97	0.08211	0.68653	0	0.4723	20.01531	0.79246
39.51425	45.81971	14.66604	101	0.51508	3.89662	0	1.07871	16.21919	6.05335
43.51297	39.69561	16.79142	105	0.70304	5.21362	0	1.19996	2.8973	35.23023
46.73299	34.68674	18.58026	109	0.63762	4.71127	0	1.43053	7.87636	15.47539
50.10779	30.73606	19.15614	113	0.56688	4.17582	0	1.80848	7.13887	13.55459
37.61656	50.28428	12.09916	119	0.0401	0.36394	0	0.29577	1.05552	6.27629
42.27508	43.59397	14.13095	123	0.57557	4.27096	0	1.05578	7.75274	12.49556
46.36064	37.73776	15.9016	127	0.66027	4.85229	0	1.072	3.26094	29.8759
49.83108	32.60135	17.56757	131	0.55089	4.05685	0	1.26847	7.39286	13.58714
53.3877	28.60728	18.00502	135	0.51353	3.78228	0	1.52221	9.47223	9.91556
35.95432	54.03031	10.01537	137	0.05284	0.45534	0	0.30811	3.44814	2.30569
40.63067	47.36842	12.00091	141	0.06674	0.58177	0	0.58356	23.22078	0.5414
45.45887	40.94151	13.59962	145	0.61927	4.55464	0	0.91888	1.23652	50.80635
49.60897	35.40146	14.98957	149	0.53126	3.92109	0	0.78171	2.71963	28.366
52.9078	30.89362	16.19858	153	0.06111	0.50443	0	1.17263	7.7951	0.11911
55.70835	27.15062	17.14103	157	0.42277	3.17049	0	0.79	1.79	29.11
38.43275	51.94805	9.61919	159	0.01808	0.22458	0	0.4423	14.61023	0.2669
43.7904	45.10619	11.10342	163	0.06409	0.59758	0	0.41275	37.79678	0.3199
48.48193	38.84337	12.6747	167	0.44798	3.4182	0	0.80287	1.1543	39.49375
52.20142	33.48273	14.31584	171	0.38831	2.90903	0	1.66084	1.5995	19.44568
56.01612	28.72769	15.25619	175	0.36761	2.76158	0	1.89434	2.14097	14.20462
41.37475	48.90945	9.7158	181	0.01504	0.18383	0	0.45161	18.29047	0.17667
46.80412	42.4055	10.79038	185	0.1466	1.1296	0	0.51602	12.59986	1.71944
51.72159	36.07969	12.19872	189	0.26667	2.02957	0	0.5143	2.09643	17.05423
54.93745	31.80729	13.25526	193	0.24352	1.81384	0	0.6451	4.79487	7.78195
58.686	27.37496	13.93904	197	0.20098	1.50869	0	0.70064	7.77477	4.32005
44.6963	45.99472	9.30898	203	0.02708	0.34104	0	0.35041	19.43833	0.29669
49.94252	39.20441	10.85307	207	0.14277	1.05335	0	0.34347	0.94482	16.70869
54.16972	34.33602	11.49425	211	0.2221	1.64362	0	0.81067	4.70939	6.19898
57.94393	29.4526	12.60347	215	0.13906	1.04977	0	0.40116	3.0402	6.74653
61.30774	25.88482	12.80744	219	0.13863	1.03293	0	0.27783	7.73223	2.97144
42.31102	50.19438	7.4946	221	0.01816	0.21357	0	0.29321	10.81693	0.26846
47.98126	43.00692	9.01182	225	0.01887	0.24227	0	0.29105	13.19107	0.29972
53.01232	36.90096	10.08672	229	0.07837	0.60646	0	0	0.33637	33.43296
57.55942	31.51188	10.92869	233	0.08842	0.68662	0	0	0.71757	19.22473
61.07509	27.14749	11.77742	237	0.05123	0.46599	0	0.59525	2.89719	2.69245
63.85762	24.03407	12.10831	241	0.06543	0.50532	0	0.32773	3.78277	2.6
50.11246	41.81287	8.07467	245	0.01803	0.22055	0	0.31906	26.31609	0.12346
55.44006	35.52784	9.03211	249	0.04151	0.33339	0	0.08106	0.12929	28.08214
59.55224	30.67164	9.77612	253	0.06079	0.48755	0	0.25139	0.96408	7.13639
62.97494	26.43492	10.59014	257	0.03017	0.30133	0	0.22914	3.40094	1.58422
47.43367	45.54154	7.02479	261	0.01427	0.18315	0	0.27969	21.55029	0.10904
53.69789	38.70462	7.59749	265	0.00868	0.08683	0	0.09588	1.61216	0.72443
58.32355	33.10636	8.57009	269	0.12037	0.92897	0	0.20281	0.42271	24.57628
62.43452	28.0868	9.47867	273	0.02268	0.23878	0	0.3078	4.06798	0.94352
65.77236	24.60705	9.6206	277	0.02695	0.21776	0	0.07387	2.74407	1.35654
55.28973	37.97191	6.73837	283	0.00593	0.05482	0	0.08926	0.9685	0.66536
60.30429	31.9041	7.79161	287	0.10492	0.80557	0	0.07066	0.269	35.4167
64.24137	27.31562	8.44301	291	0.01426	0.16252	0	0.26805	5.0614	0.47291
67.66694	23.5469	8.78616	295	0.01062	0.10588	0	0.13436	2.94143	0.55054
54.86592	39.12197	6.01211	297	0.01073	0.13096	0	0.18004	15.18937	0.09473
60.08101	33.05581	6.86319	301	0.00425	0.03669	0	0.13201	0.26869	1.28979
64.56231	28.04506	7.39263	305	0.01862	0.20133	0	0.19001	1.30689	1.85912
68.15895	23.99396	7.84708	309	0.00967	0.09136	0	0.10555	2.41612	0.52099
61.74719	31.98765	6.26517	315	0.00268	0.02166	0	0.00909	0	42.56584
65.98703	26.78406	7.22892	319	0.01649	0.19495	0	0.20017	1.07072	2.07503
69.47473	23.19128	7.33399	323	0.00534	0.05396	0	0	0.72833	0.9989
61.51685	32.77874	5.70441	325	0.0017	0.01579	0	0.04348	0	6.64767
66.15213	27.74049	6.10738	329	0.00736	0.06664	0	0.06703	0	15.40154
69.78803	23.82949	6.38248	333	0.00353	0.029	0	0	0.6337	0.53696
67.0467	27.84477	5.10853	337	0.00258	0.03103	0	0.07131	-0.47756	-0.67071
70.7251	23.71809	5.55681	341	0.06313	-0.02035	0	0.26164	3.78251	-0.05218
