Ti [at.%]	Fe [at.%]	W [at.%]	Photocurrent Density [mA/cm2]	Ti Stability	Fe Stability	W Stability	mC/nmol
29.11453	49.63908	21.24639	0.8759	0	-1.01581	0	176.57396
31.38285	44.66117	23.95599	0.86973	0	-2.07237	-2.83695	43.45675
33.89831	40.41721	25.68449	0.82781	0	-3.34865	-9.42707	17.48684
35.86129	36.59431	27.5444	0.84531	0	-3.98566	-14.72573	12.89714
33.79467	43.20584	22.9995	0.82901	0	-3.7518	-1.51851	32.23533
36.18104	39.20728	24.61168	0.81614	0	-2.95561	-7.66047	19.83026
38.47045	35.39977	26.12978	0.38365	0	-0.73578	-39.02894	3.51729
30.06381	52.58804	17.34814	0.70319	0	-1.58556	-28.17803	5.65971
32.31441	48.47162	19.21397	0.90356	0	-2.86823	0	63.33717
35.69108	43.23919	21.06973	0.83801	0	-3.53828	-3.1602	27.20811
37.83433	39.13269	23.03298	0.91397	0	-2.50631	-18.75741	12.09944
39.85632	35.51724	24.62644	0.01867	0	-2.76222	-3.9741	1.04311
31.30841	52.94393	15.74766	0.49629	0	-1.14654	-2.76392	28.40114
34.53375	47.3885	18.07775	0.85342	0	-1.02983	-19.11878	10.33056
37.08375	42.6337	20.28254	0.8082	0	-3.21903	0	44.53186
39.6561	38.50081	21.8431	2.58E-04	0	-6.83768	0	0.00307
41.78179	34.67719	23.54102	0.67826	0	-1.45793	-5.1308	26.0959
44.04209	31.72392	2.42E+01	0.35782	0	-1.1673	-2.28185	19.0136
31.70343	54.0141	14.28247	0.22897	0	-1.65643	-6.43384	6.03678
34.73282	48.54485	16.72233	0.68769	0	-1.85416	-7.12682	17.29873
38.16532	43.85578	17.97891	0.82282	0	-1.5138	-9.26144	17.8408
40.75423	39.53186	19.71391	0.8239	0	-1.32224	-7.16069	23.71632
43.00417	35.68846	21.30737	0.73795	0	-1.46367	-3.23035	35.15681
45.43291	32.28206	22.28503	0.61104	0	-1.16801	-7.45484	18.39805
32.17158	55.13852	12.6899	0.1902	0	-0.35158	-14.11206	2.43097
35.51938	49.9656	14.51502	0.33073	0	-0.78893	-23.43337	2.8518
39.21103	44.60551	16.18346	0.79768	0	-1.85308	-0.89085	56.84407
42.03484	40.19187	17.77329	0.74754	0	-1.76169	-0.43652	60.19694
44.60797	35.93792	19.45411	0.75215	0	-1.99407	-2.68316	32.02312
46.29522	33.08051	20.62427	0.65999	0	-2.24715	-6.22891	17.17973
48.80153	30.10547	21.093	0.59869	0	-2.68843	-1.63281	21.91086
34.8461	52.34779	12.80611	0.08211	0	-0.4723	-20.01531	0.79246
39.51425	45.81971	14.66604	0.51508	0	-1.07871	-16.21919	6.05335
43.51297	39.69561	16.79142	0.70304	0	-1.19996	-2.8973	35.23023
46.73299	34.68674	18.58026	0.63762	0	-1.43053	-7.87636	15.47539
50.10779	30.73606	19.15614	0.56688	0	-1.80848	-7.13887	13.55459
37.61656	50.28428	12.09916	0.0401	0	-0.29577	-1.05552	6.27629
42.27508	43.59397	14.13095	0.57557	0	-1.05578	-7.75274	12.49556
46.36064	37.73776	15.9016	0.66027	0	-1.072	-3.26094	29.8759
49.83108	32.60135	17.56757	0.55089	0	-1.26847	-7.39286	13.58714
53.3877	28.60728	18.00502	0.51353	0	-1.52221	-9.47223	9.91556
35.95432	54.03031	10.01537	0.05284	0	-0.30811	-3.44814	2.30569
40.63067	47.36842	12.00091	0.06674	0	-0.58356	-23.22078	0.5414
45.45887	40.94151	13.59962	0.61927	0	-0.91888	-1.23652	50.80635
49.60897	35.40146	14.98957	0.53126	0	-0.78171	-2.71963	28.366
52.9078	30.89362	16.19858	0.06111	0	-1.17263	-7.7951	0.11911
55.70835	27.15062	17.14103	0.42277	0	-0.79	-1.79	29.11
38.43275	51.94805	9.61919	0.01808	0	-0.4423	-14.61023	0.2669
43.7904	45.10619	11.10342	0.06409	0	-0.41275	-37.79678	0.3199
48.48193	38.84337	12.6747	0.44798	0	-0.80287	-1.1543	39.49375
52.20142	33.48273	14.31584	0.38831	0	-1.66084	-1.5995	19.44568
56.01612	28.72769	15.25619	0.36761	0	-1.89434	-2.14097	14.20462
41.37475	48.90945	9.7158	0.01504	0	-0.45161	-18.29047	0.17667
46.80412	42.4055	10.79038	0.1466	0	-0.51602	-12.59986	1.71944
51.72159	36.07969	12.19872	0.26667	0	-0.5143	-2.09643	17.05423
54.93745	31.80729	13.25526	0.24352	0	-0.6451	-4.79487	7.78195
